type,word,pos
일반,대상자,NNG
일반,서비스,NNG
일반,주거,NNG
일반,주택,NNG
일반,가구,NNG
일반,뽐내다,NNG
일반,시흥,NNG
일반,시흥동,NNG
일반,독산동,NNG
일반,금하로,NNG
일반,박경,NNG
일반,박상준,NNG
일반,이종현,NNG
일반,장진호,NNG
일반,한혜경,NNG
일반,경옥,NNG
일반,김광용,NNG
일반,최문영,NNG
일반,신기석,NNG
일반,동점,NNG
일반,목 6,NNG
일반,목6,NNG
일반,수4,NNG
일반,수 4,NNG
일반,월요일,NNG
일반,화요일,NNG
일반,수요일,NNG
일반,목요일,NNG
일반,금요일,NNG
일반,토요일,NNG
일반,일요일,NNG
일반,점지,NNG
일반,자세,NNG
일반,인하다,NNG
일반,그렇다,NNG
일반,의하다,NNG
일반,관하다,NNG
일반,이렇다,NNG
일반,코라코,NNG
일반,기반,NNG
일반,이야기,NNG
일반,그러다,NNG
일반,안녕하세요,NNG
일반,이루어지다,NNG
일반,생년월일,NNG
deep.chulgil.me,가령,NNG
deep.chulgil.me,각각,NNG
deep.chulgil.me,각자,NNG
deep.chulgil.me,각종,NNG
deep.chulgil.me,거의,NNG
deep.chulgil.me,것들,NNG
deep.chulgil.me,게다가,NNG
deep.chulgil.me,게우다,NNG
deep.chulgil.me,겨우,NNG
deep.chulgil.me,결국,NNG
deep.chulgil.me,겸사겸사,NNG
deep.chulgil.me,고로,NNG
deep.chulgil.me,과연,NNG
deep.chulgil.me,관한,NNG
deep.chulgil.me,그들,NNG
deep.chulgil.me,그때,NNG
deep.chulgil.me,그래,NNG
deep.chulgil.me,그러나,NNG
deep.chulgil.me,그러니,NNG
deep.chulgil.me,그러니까,NNG
deep.chulgil.me,그러면,NNG
deep.chulgil.me,그러므로,NNG
deep.chulgil.me,그러한즉,NNG
deep.chulgil.me,그런 까닭에,NNG
deep.chulgil.me,그런데,NNG
deep.chulgil.me,그런즉,NNG
deep.chulgil.me,그럼,NNG
deep.chulgil.me,그리고,NNG
deep.chulgil.me,그위에,NNG
deep.chulgil.me,그저,NNG
deep.chulgil.me,근거로,NNG
deep.chulgil.me,기대여,NNG
deep.chulgil.me,기타,NNG
deep.chulgil.me,까악,NNG
deep.chulgil.me,까지,NNG
deep.chulgil.me,꽈당,NNG
deep.chulgil.me,끙끙,NNG
deep.chulgil.me,끼익,NNG
deep.chulgil.me,남들,NNG
deep.chulgil.me,남짓,NNG
deep.chulgil.me,너희,NNG
deep.chulgil.me,누구,NNG
deep.chulgil.me,다른,NNG
deep.chulgil.me,다만,NNG
deep.chulgil.me,다섯,NNG
deep.chulgil.me,다소,NNG
deep.chulgil.me,다수,NNG
deep.chulgil.me,다음,NNG
deep.chulgil.me,단지,NNG
deep.chulgil.me,답다,NNG
deep.chulgil.me,당신,NNG
deep.chulgil.me,당장,NNG
deep.chulgil.me,댕그,NNG
deep.chulgil.me,더구나,NNG
deep.chulgil.me,더라도,NNG
deep.chulgil.me,더불어,NNG
deep.chulgil.me,동시에,NNG
deep.chulgil.me,동안,NNG
deep.chulgil.me,된바에야,NNG
deep.chulgil.me,된이상,NNG
deep.chulgil.me,두번째로,NNG
deep.chulgil.me,둥둥,NNG
deep.chulgil.me,뒤따라,NNG
deep.chulgil.me,뒤이어,NNG
deep.chulgil.me,등등,NNG
deep.chulgil.me,딩동,NNG
deep.chulgil.me,따라,NNG
deep.chulgil.me,따라서,NNG
deep.chulgil.me,따위,NNG
deep.chulgil.me,때가 되어,NNG
deep.chulgil.me,때문에,NNG
deep.chulgil.me,또한,NNG
deep.chulgil.me,뚝뚝,NNG
deep.chulgil.me,라 해도,NNG
deep.chulgil.me,로부터,NNG
deep.chulgil.me,마음대로,NNG
deep.chulgil.me,마저,NNG
deep.chulgil.me,마저도,NNG
deep.chulgil.me,마치,NNG
deep.chulgil.me,만약,NNG
deep.chulgil.me,만약에,NNG
deep.chulgil.me,만일,NNG
deep.chulgil.me,만큼,NNG
deep.chulgil.me,매번,NNG
deep.chulgil.me,모두,NNG
deep.chulgil.me,무렵,NNG
deep.chulgil.me,무슨,NNG
deep.chulgil.me,무엇,NNG
deep.chulgil.me,물론,NNG
deep.chulgil.me,바로,NNG
deep.chulgil.me,반대로,NNG
deep.chulgil.me,반드시,NNG
deep.chulgil.me,버금,NNG
deep.chulgil.me,보다더,NNG
deep.chulgil.me,보드득,NNG
deep.chulgil.me,본대로,NNG
deep.chulgil.me,봐라,NNG
deep.chulgil.me,부터,NNG
deep.chulgil.me,붕붕,NNG
deep.chulgil.me,비교적,NNG
deep.chulgil.me,비로소,NNG
deep.chulgil.me,비록,NNG
deep.chulgil.me,비슷하다,NNG
deep.chulgil.me,비하면,NNG
deep.chulgil.me,삐걱,NNG
deep.chulgil.me,설령,NNG
deep.chulgil.me,설마,NNG
deep.chulgil.me,설사,NNG
deep.chulgil.me,소생,NNG
deep.chulgil.me,소인,NNG
deep.chulgil.me,시각,NNG
deep.chulgil.me,시간,NNG
deep.chulgil.me,실로,NNG
deep.chulgil.me,심지어,NNG
deep.chulgil.me,아니,NNG
deep.chulgil.me,아래윗,NNG
deep.chulgil.me,아무거나,NNG
deep.chulgil.me,아무도,NNG
deep.chulgil.me,아야,NNG
deep.chulgil.me,아울러,NNG
deep.chulgil.me,아이,NNG
deep.chulgil.me,아이고,NNG
deep.chulgil.me,아이구,NNG
deep.chulgil.me,아이야,NNG
deep.chulgil.me,아이쿠,NNG
deep.chulgil.me,아하,NNG
deep.chulgil.me,아홉,NNG
deep.chulgil.me,알았어,NNG
deep.chulgil.me,앞에서,NNG
deep.chulgil.me,앞의것,NNG
deep.chulgil.me,약간,NNG
deep.chulgil.me,양자,NNG
deep.chulgil.me,어기여차,NNG
deep.chulgil.me,어느,NNG
deep.chulgil.me,어디,NNG
deep.chulgil.me,어때,NNG
deep.chulgil.me,어떠한,NNG
deep.chulgil.me,어떤,NNG
deep.chulgil.me,어떤것,NNG
deep.chulgil.me,어떤것들,NNG
deep.chulgil.me,어이,NNG
deep.chulgil.me,어째서,NNG
deep.chulgil.me,어쨋든,NNG
deep.chulgil.me,어찌,NNG
deep.chulgil.me,언제,NNG
deep.chulgil.me,언젠가,NNG
deep.chulgil.me,얼마,NNG
deep.chulgil.me,얼마간,NNG
deep.chulgil.me,얼마나,NNG
deep.chulgil.me,얼마든지,NNG
deep.chulgil.me,얼마큼,NNG
deep.chulgil.me,엉엉,NNG
deep.chulgil.me,에게,NNG
deep.chulgil.me,에서,NNG
deep.chulgil.me,여기,NNG
deep.chulgil.me,여덟,NNG
deep.chulgil.me,여러분,NNG
deep.chulgil.me,여보시오,NNG
deep.chulgil.me,여부,NNG
deep.chulgil.me,여섯,NNG
deep.chulgil.me,여전히,NNG
deep.chulgil.me,여차,NNG
deep.chulgil.me,연이서,NNG
deep.chulgil.me,영차,NNG
deep.chulgil.me,옆사람,NNG
deep.chulgil.me,예컨대,NNG
deep.chulgil.me,오로지,NNG
deep.chulgil.me,오르다,NNG
deep.chulgil.me,오자마자,NNG
deep.chulgil.me,오직,NNG
deep.chulgil.me,오호,NNG
deep.chulgil.me,오히려,NNG
deep.chulgil.me,와르르,NNG
deep.chulgil.me,와아,NNG
deep.chulgil.me,왜냐하면,NNG
deep.chulgil.me,외에도,NNG
deep.chulgil.me,요만큼,NNG
deep.chulgil.me,요컨대,NNG
deep.chulgil.me,우르르,NNG
deep.chulgil.me,우리,NNG
deep.chulgil.me,우리들,NNG
deep.chulgil.me,우선,NNG
deep.chulgil.me,운운,NNG
deep.chulgil.me,위하여,NNG
deep.chulgil.me,위해서,NNG
deep.chulgil.me,윙윙,NNG
deep.chulgil.me,으로,NNG
deep.chulgil.me,으로 인하여,NNG
deep.chulgil.me,으로서,NNG
deep.chulgil.me,으로써,NNG
deep.chulgil.me,응당,NNG
deep.chulgil.me,의해,NNG
deep.chulgil.me,이것,NNG
deep.chulgil.me,이곳,NNG
deep.chulgil.me,이때,NNG
deep.chulgil.me,이라면,NNG
deep.chulgil.me,이래,NNG
deep.chulgil.me,이러한,NNG
deep.chulgil.me,이런,NNG
deep.chulgil.me,이만큼,NNG
deep.chulgil.me,이번,NNG
deep.chulgil.me,이봐,NNG
deep.chulgil.me,이상,NNG
deep.chulgil.me,이젠,NNG
deep.chulgil.me,이지만,NNG
deep.chulgil.me,이쪽,NNG
deep.chulgil.me,이천구,NNG
deep.chulgil.me,이천육,NNG
deep.chulgil.me,이천칠,NNG
deep.chulgil.me,이천팔,NNG
deep.chulgil.me,인젠,NNG
deep.chulgil.me,일곱,NNG
deep.chulgil.me,일단,NNG
deep.chulgil.me,일때,NNG
deep.chulgil.me,있다,NNG
deep.chulgil.me,자기,NNG
deep.chulgil.me,자기집,NNG
deep.chulgil.me,자마자,NNG
deep.chulgil.me,자신,NNG
deep.chulgil.me,잠깐,NNG
deep.chulgil.me,잠시,NNG
deep.chulgil.me,저것,NNG
deep.chulgil.me,저것만큼,NNG
deep.chulgil.me,저기,NNG
deep.chulgil.me,저쪽,NNG
deep.chulgil.me,저희,NNG
deep.chulgil.me,전부,NNG
deep.chulgil.me,전자,NNG
deep.chulgil.me,전후,NNG
deep.chulgil.me,제각기,NNG
deep.chulgil.me,조금,NNG
deep.chulgil.me,조차,NNG
deep.chulgil.me,조차도,NNG
deep.chulgil.me,졸졸,NNG
deep.chulgil.me,좍좍,NNG
deep.chulgil.me,주룩주룩,NNG
deep.chulgil.me,즉시,NNG
deep.chulgil.me,지든지,NNG
deep.chulgil.me,지만,NNG
deep.chulgil.me,지말고,NNG
deep.chulgil.me,진짜로,NNG
deep.chulgil.me,차라리,NNG
deep.chulgil.me,참나,NNG
deep.chulgil.me,첫번째로,NNG
deep.chulgil.me,콸콸,NNG
deep.chulgil.me,쾅쾅,NNG
deep.chulgil.me,타다,NNG
deep.chulgil.me,타인,NNG
deep.chulgil.me,탕탕,NNG
deep.chulgil.me,토하다,NNG
deep.chulgil.me,통하여,NNG
deep.chulgil.me,틈타,NNG
deep.chulgil.me,펄렁,NNG
deep.chulgil.me,하겠는가,NNG
deep.chulgil.me,하구나,NNG
deep.chulgil.me,하기에,NNG
deep.chulgil.me,하나,NNG
deep.chulgil.me,하느니,NNG
deep.chulgil.me,하는바,NNG
deep.chulgil.me,하더라도,NNG
deep.chulgil.me,하도다,NNG
deep.chulgil.me,하지만,NNG
deep.chulgil.me,하하,NNG
deep.chulgil.me,한 후,NNG
deep.chulgil.me,한다면,NNG
deep.chulgil.me,한데,NNG
deep.chulgil.me,한마디,NNG
deep.chulgil.me,함께,NNG
deep.chulgil.me,허걱,NNG
deep.chulgil.me,허허,NNG
deep.chulgil.me,헉헉,NNG
deep.chulgil.me,혹시,NNG
deep.chulgil.me,혹은,NNG
deep.chulgil.me,혼자,NNG
deep.chulgil.me,훨씬,NNG
deep.chulgil.me,휘익,NNG
deep.chulgil.me,흐흐,NNG
deep.chulgil.me,힘입어,NNG
지역명,서초선포레,NNG
지역명,센트럴,NNG
지역명,래미안리더스원신혼,NNG
지역명,세대서초선포레,NNG
지역명,센트레빌,NNG
지역명,재공급래미안서초에스티지신혼,NNG
지역명,래미안,NNG
지역명,신반포,NNG
지역명,시흥대로,NNG
상담사명,김혜민,NNG
상담사명,윤정선,NNG
상담사명,이주희,NNG
상담사명,송혜진,NNG
상담사명,이종미,NNG
상담사명,최은희,NNG
상담사명,박지혜,NNG
상담사명,최미연,NNG
상담사명,황정은,NNG
상담사명,권인숙,NNG
상담사명,김민정,NNG
상담사명,김수진,NNG
상담사명,김영산,NNG
상담사명,김윤지,NNG
상담사명,김은정,NNG
상담사명,김정환,NNG
상담사명,나미화,NNG
상담사명,노은주,NNG
상담사명,문영록,NNG
상담사명,민예지,NNG
상담사명,박미경,NNG
상담사명,박민정,NNG
상담사명,박유진,NNG
상담사명,박주현,NNG
상담사명,박지선,NNG
상담사명,박혜민,NNG
상담사명,박혜영,NNG
상담사명,배병찬,NNG
상담사명,배혜은,NNG
상담사명,서지애,NNG
상담사명,유지혜,NNG
상담사명,이수현,NNG
상담사명,박인정,NNG
상담사명,경기도,NNG
상담사명,서울,NNG
상담사명,특별시,NNG
상담사명,서울특별시,NNG
상담사명,종로구,NNG
상담사명,중구,NNG
상담사명,용산구,NNG
상담사명,성동구,NNG
상담사명,광진구,NNG
상담사명,동대문구,NNG
상담사명,중랑구,NNG
상담사명,성북구,NNG
상담사명,강북구,NNG
상담사명,도봉구,NNG
상담사명,노원구,NNG
상담사명,은평구,NNG
상담사명,서대문구,NNG
상담사명,마포구,NNG
상담사명,양천구,NNG
상담사명,강서구,NNG
상담사명,구로구,NNG
상담사명,금천구,NNG
상담사명,영등포구,NNG
상담사명,동작구,NNG
상담사명,관악구,NNG
상담사명,서초구,NNG
상담사명,강남구,NNG
상담사명,송파구,NNG
상담사명,강동구,NNG
상담사명,만요,NNG
상담사명,장위,NNG
상담사명,코리아,NNG
