id_f,cons_text,cons_text_posJoined_main
CONS_000201," - 월세 체납 지원신청 관련으로 내방하심. 
- 소득: 조건부수급
- 최근 신용카드를 만들었는데 이사를 하게되면 카드빚이 많이 생길 것 같다고 함. 
- 아들 대학교 등록비 때문에 월세를 못냈었다고 함. 
- 비가와서 지하층에 물이새서 하수구가 망가졌는데 지하층에 사는 사람이 1층(대상자)집에 손해배상을 청구하겠다고 한 상황임. 
- 집주인을 비롯한 이웃집과 갈등이 심해서 이사가 필요한 상황임. 
- 집이 오래돼서 벽에 금이가거나, 곰팡이가 생기는 등 주거환경이 열악함.",월세 체납 지원 신청 내방 소득 조건부수급자 생계급여 주거급여 배우자 소득 활동 신용 카드 만들다 이사 카드 빚 생기다 아들 대학교 등록비 월세 지하층 하수구 망가지다 지하층 살다 집 손해 배상 청구 상황 집주인 비롯하다 이웃집 갈등 심하다 이사 필요 상황 집 오래되다 곰팡이 생기다 주거환경 열악하다
CONS_295484,"청년임차보증금 연소득금액 4천만원 이하는 어떤 서류로 기준을 판단해야 하는지 문의함.  소득금액증명원상 기재된 금액으로 심사하고 초과시 원천징수영수증, 근로계약서, 급여명세서로 추가 확인함을 안내해줌.  해당 은행은 하나은행만 가능함을 안내하며 하나은행 어플을 활용하여 대출여부 및 한도 확인해볼 것을 권유함.  다만 가심사부분이라 정확한 상담은 하나은행 대출 담당자와 상담해볼 것을 당부함.",청년 임차보증금 소득 금액 이하 서류 기준 판단 문의 소득 금액 증명 원상 기재 금액 심사 초과 원천 징수 영수증 근로 계약서 급여 명세서 추가 확인 안내 은행 하나은행 가능 안내 은행 어플 활용 대출 확인 권유 심사 부분 정확 상담 은행 대출 담당자 상담 당부
CONS_280058,"* 관리비 할인 문의
- 요양보호사(010-9251-6748)
1. 노인 1인가구, 마포 태영아파트(SH임대주택)에 거주 중인데 관리비가 너무 많이 나와서 할인받을 수 있는지 문의함.
- 관리비 고지서에 마포주거복지센터 연락처를 보고 문의함.

ㅡ> 임대주택 관리비에 대한 내용은 SH마포용산센터(02-380-0100)로 문의할 것을 안내함.",관리비 할인 요양보호사 노인 1인가구 아파트 서울주택도시공사 임대주택 거주 관리비 나오다 할인 문의 관리비 고지서 주거복지센터 연락 문의 임대주택 관리비 서울주택도시공사 센터 문의 안내
CONS_269368,"- 체납세대 관련 주거문제 확인차 연락했으나 받지 않으심

, - 체납세대 관련 주거문제 확인차 연락했으나 받지 않으심

",체납 세대 문제 확인 연락 체납 세대 문제 확인 연락
CONS_193229,"-문자알림서비스 등록(전세임대, 재개발임대, 국민임대, 공공임대, 장기안심), -2인가구(노인부부)/비수급자
-월소득 200~250만원(근로소득 약 200만원, 노령연금 50만원(2인)
(현재는 두분다 근로 중이긴 하나 나이가 많아 언제까지 가능할지 모르겠다고 하심.)
-상가주택 보증부월세(보증금 1000만원, 월 70만원) ->방 2개
-주택청약저축 X -> 2만원씩 불입 권유. 재개발임대, 공공임대 가점활용방법 안내드림.

-과거 LH 임대주택에서 거주 하다가 아들의 개인사정으로 인해 아들을 대상자의 주소로 옮겨 놓았다고 함.
 아들이 외제차 가지고 있던 것이 있어서 자산 기준 초과도 퇴거 요청 당했다고 함.
-마련가능한 보증금은 2000만원 정도라고 함.
-재개발임대 안내드렸고 현재 가점 7점임. 추후 가점 확보를 위해 주택청약저축 통장 개설 및 소득 감소 되시면 차상위계층이나 수급자 자격 신청해보시라고 안내드림.

-문자알림서비스 신청(전세임대, 재개발임대, 국민임대, 공공임대, 장기안심)",문자알림서비스 등록 전세임대 재개발임대 국민임대 공공임대 장기안심 2인가구 노인 부부 수급자 소득 근로 소득 노령 연금 현재 근로 나이 가능 모르다 상가 보증 월세 보증금 청약 저축 불입 권유 재개발임대 공공임대 가점 활용 방법 안내 과거 한국토지주택공사 임대주택 거주 아들 개인 사정 인하다 아들 주소 옮기다 아들 외제 가지다 자산 기준 초과 퇴거 요청 당하다 마련 가능 보증금 재개발임대 안내 드리다 가점 추후 가점 확보 청약 저축 통장 개설 소득 감소 차상위계층 수급자 자격 신청 안내 드리다 문자알림서비스 신청 전세임대 재개발임대 국민임대 공공임대 장기안심
CONS_091444,"- 재개발문자알림 서비스 등록, - 보증금 500만원 임대료 35만원 1층 방 1개
- 수급자
- 월소득 74만원(주거 생계 44만원, 노령연금 30만원)
- 쳥약 있으나 회차 모름
- 행당1동 7구역 재개발 지역 거주 중이나 임대주택 임주 불가하다 함
- 재개발 안내
- 재개발 문자 알림 서비스 신청 
",재개발 문자 알림 등록 보증금 임대료 수급자 소득 생계 노령 연금 청약 회차 모름 재개발임대 거주 임대주택 불가 재개발임대 안내 재개발임대 문자알림서비스 신청
CONS_088231,"재개발임대는 이번에는 어려우며, 다른 임대주택 나오면 신청해야 될 것 같다고 안내해드림.

다음달 영구임대 결과 봐야 되며, 주거급여 관련해서 서명 받고 갔다고 하심.
주거급여 결과 나오면 연락주신다고함.",재개발임대 어렵다 임대주택 나오다 신청 안내 드리다 영구임대 결과 주거급여 서명 주거급여 결과 나오다 연락
CONS_254142,"구청과, 본 상담소 회의를 통해
신사동 긴급지원주택에 최소 일주일부터 최대 한달까지 입주 하기로 결정함 

위의 사실을 
대상자와 통화하며 12일(금) 10시에 입주안내 하기로 함 
",구청 상담소 회의 긴급 지원주택 최소 일주일 최대 입주 결정 사실 통화 입주 안내
CONS_309287,"2차 상담
-2020년 문자 재등록 건으로 연락드림.
-매입임대, 전세임대 문자 서비스 등록.",상담 문자 등록 연락 드리다 매입임대 전세임대 문자알림서비스 등록
CONS_079315,"-부모소득증명원, 농업에 종사하는 경우 소득내역 증명 방법 문의함
-서울시 담당자 부재로 추가 정보 취득 실패하고
-문자전송,
""""문의하신 내용은 서울시 담당자 부재로 확인이 어렵습니다.
아래의 내용이 혹시 도움이 될 수 있어 보내드립니다.
http://bitly.kr/WuvhXX """"",부모 소득 증명 농업 종사 소득 내역 증명 방법 문의 서울시 담당자 부재 추가 정보 취득 실패 문자 전송 문의 서울시 담당자 부재 확인 어렵다 도움 보내다 드리다
