sent_content,label,senti_score_google
탁트인 한강 전망이 좋아요,긍정,0.899999976
" 돗자리 대여 ,원 보증금 ,원",중립,0.300000012
점심먹고 산책하기 아주 좋아요,긍정,0.899999976
사람이 적어서 좋아요,긍정,0.899999976
사시사철 넘 예뻐요,긍정,0.899999976
관광객도 많은데,중립,0
자전거타고 가다,긍정,0.100000001
물난리 후 첫주말에 갔는데,중립,-0.100000001
걷기조아요,긍정,0.899999976
무난한데,중립,0.400000006
조금 떨어진곳,중립,-0.5
외투는 안에서 벗어야한다.,중립,0
서울 한가운데 이런 좋운데도 있네요,긍정,0.300000012
언제가도 좋은곳,긍정,0.899999976
숲이 좋아요.,긍정,0.899999976
한적하니 좋아요,긍정,0.899999976
조용하고 아름다워요,긍정,0.899999976
별 개로 평점 올릴게요,중립,-0.200000003
경관 굳 축구장 굳,긍정,0.899999976
아 좋습니다,긍정,0.899999976
애들한테 좋을들 가격저렴,긍정,0.300000012
여기 자주 오세여!,긍정,0.200000003
" 교통,주차 너무힘들어요",부정,0
넓은 잔디밭.,중립,0.899999976
잘 정돈된 나무자람터.,긍정,0.400000006
강아지랑 잘 보내고 왔어요.,긍정,0.899999976
목줄안한 개의 천국,중립,0
"평상시에는 출입이 제한되지만,",중립,0
강바람 시원 풍력발전도 해요.,긍정,0.600000024
플루메리아 꽃을 처음 봤는데,중립,0.300000012
올만에 가족총출동,긍정,0.899999976
공원이 넘 작아서 아쉬워요,부정,-0.600000024
공원이 매우넓음,긍정,0.800000012
시설이 노후됫습니다 ㅠㅜ,부정,-0.100000001
화려안 등축제 개막하다,중립,0.400000006
날도 좋고 뷰도 이쁘네요.,긍정,0.899999976
주변 산책만 하고왔어요,중립,0
주변에 큰 아파트들은 별로임,부정,0.300000012
조용하고.,중립,0.899999976
공기좋음,긍정,0.899999976
자주 열었으면 좋겠네요.,중립,0.100000001
대한민국은 아직 희망있습니다.,중립,0.200000003
주차 헬,부정,0.100000001
킥보드 타기 좋아요,긍정,0.899999976
서울전경볼수 있는 곳.,긍정,0.699999988
대략 백미터정도 떨어진것같음.,중립,-0.699999988
한번은 가 볼만한 곳 입니다.,긍정,0.899999976
깨끗하고 시설도 좋고 좋아요,긍정,0.899999976
아주 편안합니다.,긍정,0.899999976
걷기에 적당한 장소임,긍정,0.800000012
가을철 억새가 장난 아님,긍정,0.800000012
