name,place_id,types,user_ratings_total,rating,vicinity,business_status,lat,lng,X,Y,id_grid
모뎐,ChIJn7PjZ0mZfDURDGztfRvBelc,cafe|food|point_of_interest|establishment,10,4.5,마포구 서교동 동교로19길 52-7,OPERATIONAL,37.5578468,126.9172695,126.917002136803,37.5579773664912,1
베이글카페,ChIJV2uwPNyYfDURdLuGbg9wkCA,cafe|food|point_of_interest|establishment,2,4,마포구 서교동 449-21번지 동공빌라 1층,OPERATIONAL,37.5576272,126.9171923,126.917002136803,37.5579773664912,1
커피사랑방,ChIJ6cZZMtyYfDURIPO2h_PNYzk,cafe|food|point_of_interest|establishment,7,4.6,서교동 247-20번지 임오빌딩 1층 마포구 서울특별시 KR,OPERATIONAL,37.558347,126.9172759,126.917002136803,37.5579773664912,1
카페엘리,ChIJNWPNA92YfDUR6_7knu3MWEI,cafe|food|point_of_interest|establishment,4,4,동교동 203-10번지 102호 마포구 서울특별시 KR,OPERATIONAL,37.557829,126.9195493,126.9192656596,37.5579789649542,3
(주)요거프레소,ChIJsWLtVNyYfDURZ_f71SWvPZI,cafe|food|point_of_interest|establishment,,,연남동 571-10번지 4층 마포구 서울특별시 KR,OPERATIONAL,37.5577962,126.9189261,126.9192656596,37.5579789649542,3
선우 생카,ChIJKcjwcNGZfDURkrxFEdkx_kI,cafe|food|point_of_interest|store|establishment,,,마포구 월드컵북로6길 21,OPERATIONAL,37.5583245,126.919747,126.9192656596,37.5579789649542,3
커피볶는김대리,ChIJO9m0D92YfDURcMKrH_V_Trk,cafe|food|point_of_interest|establishment,9,4.8,연남동 570-36번지 101호 마포구 서울특별시 KR,OPERATIONAL,37.5583245,126.919747,126.9192656596,37.5579789649542,3
공상온도,ChIJZxJzxdyYfDURwGQp_EDcMxs,cafe|art_gallery|book_store|liquor_store|food|point_of_interest|store|establishment,101,4.4,마포구 동교동 203-11,OPERATIONAL,37.5575945,126.9197307,126.9192656596,37.5579789649542,3
라떼떼홍대입구역점,ChIJf88gVtyYfDURz_k5UQGYMx0,cafe|food|point_of_interest|establishment,,,일부 205-3번지 KR 서울특별시 마포구 동교동 1층,OPERATIONAL,37.5574416,126.9191632,126.9192656596,37.5579789649542,3
리쏘네,ChIJ02P7F92YfDUR5FWx-Mk5UDM,cafe|food|point_of_interest|establishment,23,4.1,마포구 동교동 동교로23길 32-15 1층,OPERATIONAL,37.557943,126.9204927,126.920397421065,37.557979747914,4
Acopia Cafe,ChIJMTngFt2YfDURg60MMdfdP0I,cafe|food|point_of_interest|establishment,,,마포구 동교동 203-57,CLOSED_TEMPORARILY,37.5581419,126.9202691,126.920397421065,37.557979747914,4
율곡,ChIJuUmV3RSZfDURc2FxiqlQogs,cafe|food|point_of_interest|establishment,12,4.8,KR 서울특별시 마포구 동교동 월드컵북로6길 24-7 1층 율곡,OPERATIONAL,37.5581355,126.9202369,126.920397421065,37.557979747914,4
キムデリ,ChIJQ6XRFt2YfDUROplHCtF5hhg,cafe|food|point_of_interest|establishment,,,마포구 월드컵북로6길,OPERATIONAL,37.5581897,126.9202071,126.920397421065,37.557979747914,4
룰루랄라카페,ChIJmcn6yDSZfDURg4M09sVlYRE,cafe|food|point_of_interest|establishment,1,5,마포구 월드컵북로6길 12-9 1층,OPERATIONAL,37.5578034,126.9200012,126.920397421065,37.557979747914,4
카페파랑,ChIJ4xvwPt2YfDURiphO7s3hYFI,cafe|food|point_of_interest|establishment,,,동교동 203-48번지 지동 1층 마포구 서울특별시 KR,OPERATIONAL,37.5582226,126.9207229,126.920397421065,37.557979747914,4
솜씨공간,ChIJ78HMBEmZfDUR7zMz0GXjk9o,cafe|food|point_of_interest|store|establishment,1,5,마포구 월드컵북로4길 29 202호,OPERATIONAL,37.5576362,126.9210313,126.920397421065,37.557979747914,4
모멘트커피,ChIJ46AfeOCZfDUR9OXIVK-R41E,cafe|food|point_of_interest|establishment,153,4.1,마포구 동교동 월드컵북로4길 29,OPERATIONAL,37.5576362,126.9210313,126.920397421065,37.557979747914,4
W카페,ChIJJS9YNN2YfDURAdNCPMmp0J0,cafe|food|point_of_interest|establishment,112,4.1,마포구 동교로25길 16,OPERATIONAL,37.5578764,126.921682,126.921529182574,37.5579805200261,5
(주)포토그룹더블유카페,ChIJJS9YNN2YfDURrCb52JAFuzQ,cafe|food|point_of_interest|establishment,,,동교동 200-18번지 1층 마포구 서울특별시 KR,OPERATIONAL,37.5578764,126.921682,126.921529182574,37.5579805200261,5
not bad,ChIJDx-4wseZfDURkOwjinHoljY,cafe|food|point_of_interest|establishment,2,5,마포구 동교동 204-50,OPERATIONAL,37.5582787,126.921142,126.921529182574,37.5579805200261,5
레드플랜트 3호점,ChIJxbnRE06ZfDUR39Q1V8DDYcc,cafe|food|point_of_interest|establishment,10,4.6,마포구 동교동 동교로25길 28,OPERATIONAL,37.5582787,126.921142,126.921529182574,37.5579805200261,5
Cafevave,ChIJzyH5cwaZfDUR4m47FhYCjqA,cafe|food|point_of_interest|establishment,33,4.4,마포구 203-30 카페베이브,OPERATIONAL,37.5576387,126.9210604,126.921529182574,37.5579805200261,5
솜씨공간,ChIJ78HMBEmZfDUR7zMz0GXjk9o,cafe|food|point_of_interest|store|establishment,1,5,마포구 월드컵북로4길 29 202호,OPERATIONAL,37.5576362,126.9210313,126.921529182574,37.5579805200261,5
모멘트커피,ChIJ46AfeOCZfDUR9OXIVK-R41E,cafe|food|point_of_interest|establishment,153,4.1,마포구 동교동 월드컵북로4길 29,OPERATIONAL,37.5576362,126.9210313,126.921529182574,37.5579805200261,5
비팩토리투에이앤,ChIJzT10L92YfDURibPWxLqQ55g,cafe|food|point_of_interest|establishment,,,마포구 동교동 201-48,OPERATIONAL,37.5574793,126.9212531,126.921529182574,37.5579805200261,5
카페 모인,ChIJH2hruMKYfDURkM-K2w72Xoo,cafe|food|point_of_interest|establishment,4,4.3,마포구 동교로 195,OPERATIONAL,37.5577742,126.9226197,126.922660944126,37.5579812812903,6
할리스커피 홍대역2번출구점,ChIJy6VMFwSZfDURUP8mBy1V6XI,cafe|food|point_of_interest|store|establishment,41,4.5,마포구 동교로 200,OPERATIONAL,37.5577307,126.923091,126.922660944126,37.5579812812903,6
포토N카페,ChIJZ-P54MWZfDUR6alvlOcDD74,cafe|food|point_of_interest|store|establishment,,,마포구 양화로 156 엘지팰리스 B125호,OPERATIONAL,37.5576485,126.923122,126.922660944126,37.5579812812903,6
1984 （カフェ・雑貨）,ChIJLcn4omSZfDURx18f2uUpz1o,cafe|food|point_of_interest|establishment,,,마포구,OPERATIONAL,37.5574189,126.9226402,126.922660944126,37.5579812812903,6
Creativity가 가득한,ChIJcbdcyHWZfDURdxXBoc-Zqbs,cafe|food|point_of_interest|establishment,,,"4층, １５８−２０ 동교동, 마포구",OPERATIONAL,37.557434,126.9229628,126.922660944126,37.5579812812903,6
Study room,ChIJG7SBbZuZfDURw50MOnAXByY,cafe|food|point_of_interest|establishment,,,"4층, １５８−２０ 동교동, 마포구",OPERATIONAL,37.557434,126.9229628,126.922660944126,37.5579812812903,6
상덕이커피,ChIJBQDAkcKYfDURW3fruuQBLhM,cafe|food|point_of_interest|establishment,18,3.7,마포구 월드컵북로 2길,OPERATIONAL,37.5576533,126.9237905,126.923792705721,37.5579820317067,7
카페아띠,ChIJp41mDU-ZfDURsiDXebgG8Ac,cafe|food|point_of_interest|establishment,,,마포구 동교로13길 38,OPERATIONAL,37.5576862,126.923487,126.923792705721,37.5579820317067,7
포비브라이트 홍대점 (FOURBRIGHT HONGDAE),ChIJT8U-e82ZfDUR_35uVwVA9xw,cafe|food|point_of_interest|establishment,4,4.3,마포구 서교동 양화로 171 삼성프라자 안 1층,OPERATIONAL,37.5575065,126.9240936,126.923792705721,37.5579820317067,7
커피 프린스,ChIJ0-71fsKYfDURxr6GBv02OsM,cafe|food|point_of_interest|store|establishment,,,마포구 동교동 155-30번지 1층,OPERATIONAL,37.5580076,126.9247675,126.924924467358,37.5579827712753,8
cafe FOREST,ChIJZ0B42umYfDUR9td52eUqdO0,cafe|food|point_of_interest|establishment,27,3.5,마포구 양화로 183,CLOSED_TEMPORARILY,37.5583278,126.9252241,126.924924467358,37.5579827712753,8
스타벅스 홍대공항철도역점,ChIJp7hhrOyZfDUR6yV9zt9blaY,cafe|food|point_of_interest|store|establishment,349,4.1,마포구 동교동 양화로 178,OPERATIONAL,37.55752,126.9251051,126.924924467358,37.5579827712753,8
