주제명,주제 출현율,대표문서 수(비율),대표문서의 평균 gamma,대표문서의 표준편차 gamma,대표문서의 최소 gamma,대표문서의 최대 gamma
주제 1: 공공임대 공고 단순 정보,7.59%,"28,511 (0.091771143477911)",0.39,0.19,0.08,0.89
주제 2: 공공임대 공고 상세 정보,3.88%,"11,057 (0.0355902470427295)",0.65,0.27,0.10,0.98
주제 3: 공공임대 자격기준 정보,1.99%,"4,146 (0.0133451355918564)",0.54,0.28,0.10,0.97
주제 4: 공공임대 당첨 안내·상담,2.56%,"1,289 (0.00414903033716907)",0.20,0.06,0.09,0.52
주제 5: 문자알림서비스 등록,5.90%,"18,729 (0.0602848636034441)",0.51,0.19,0.09,0.88
주제 6: 제출서류 안내,3.71%,"13,256 (0.0426683833588155)",0.33,0.13,0.09,0.89
주제 7: 주택물색,4.01%,"13,323 (0.0428840428100105)",0.31,0.14,0.10,0.96
주제 8: 청년임차보증금 문의,2.43%,"7,602 (0.0244693007161825)",0.51,0.22,0.10,0.97
주제 9: 청약정보 안내,6.79%,"32,394 (0.104269735253883)",0.37,0.13,0.10,0.85
주제 10: 임대차 갈등 조정,4.52%,"8,755 (0.0281805745554036)",0.25,0.08,0.09,0.66
주제 11: 비주택 주거상향사업 문의,5.49%,"15,945 (0.0513237305866259)",0.28,0.09,0.09,0.79
주제 12: 주거비 체납 상담·지원,3.66%,"13,386 (0.0430868270700893)",0.35,0.13,0.09,0.87
주제 13: 주거비 체납 안내,5.15%,"13,728 (0.0441876559105174)",0.48,0.23,0.09,0.95
주제 14: 1인가구주택관리서비스(간편집수리),4.24%,"18,275 (0.0588235294117647)",0.45,0.18,0.10,0.95
주제 15: 공구대여,2.25%,"3,954 (0.0127271264182828)",0.34,0.16,0.09,0.85
주제 16: 이사비·생활용품 지원,4.30%,"18,465 (0.0594351009897803)",0.38,0.15,0.09,0.89
주제 17: 물품 전달·수령,3.38%,"9,293 (0.0299122877605214)",0.31,0.11,0.09,0.84
주제 18: 자활 교육 안내,2.46%,"4,614 (0.0148515329524423)",0.29,0.13,0.09,0.69
주제 19: 사례회의·민간자원연계,4.24%,"12,042 (0.0387607628550736)",0.29,0.10,0.10,0.79
주제 20: 내담자 건강·경제 상황,4.61%,"17,573 (0.056563933370886)",0.33,0.12,0.09,0.89
주제 21: 안부차 연락,2.41%,"2,849 (0.00917035487245514)",0.29,0.09,0.10,0.61
주제 22: 친목모임 안내,1.22%,"3,485 (0.0112175102599179)",0.42,0.16,0.10,0.85
주제 23: 상담 부재중 기록,8.27%,"22,930 (0.0738070330731472)",0.25,0.07,0.09,0.72
주제 24: 센터명 변경 문자,1.74%,"2,747 (0.00884203749899413)",0.61,0.28,0.11,0.97
주제 25: 주거서비스 만족도 조사,3.21%,"12,327 (0.039678120222097)",0.51,0.21,0.10,0.96
