threshold_posi,threshold_neg,id,F1,Balanced Accuracy
0.25,0.25,1,,0.6875
0.3,0.25,2,,0.6875
0.35,0.25,3,0.5534262485482,0.71125
0.4,0.25,4,0.5534262485482,0.71125
0.45,0.25,5,0.592904309324783,0.72125
0.5,0.25,6,0.592904309324783,0.72125
0.55,0.25,7,0.618941152128331,0.73
0.6,0.25,8,0.618941152128331,0.73
0.65,0.25,9,0.624902926636619,0.7275
0.7,0.25,10,0.629444425953273,0.725
0.75,0.25,11,0.629444425953273,0.725
0.8,0.25,12,0.629444425953273,0.725
0.85,0.25,13,0.627908883566866,0.72
0.9,0.25,14,,0.56625
0.95,0.25,15,,0.56625
0.25,0.2,16,0.527612371238405,0.70125
0.3,0.2,17,0.527612371238405,0.70125
0.35,0.2,18,0.595613887486679,0.725
0.4,0.2,19,0.595613887486679,0.725
0.45,0.2,20,0.626808289654331,0.735
0.5,0.2,21,0.626808289654331,0.735
0.55,0.2,22,0.648601453817737,0.74375
0.6,0.2,23,0.648601453817737,0.74375
0.65,0.2,24,0.652299753520619,0.74125
0.7,0.2,25,0.654600998425026,0.73875
0.75,0.2,26,0.654600998425026,0.73875
0.8,0.2,27,0.654600998425026,0.73875
0.85,0.2,28,0.651833781953314,0.73375
0.9,0.2,29,,0.58
0.95,0.2,30,,0.58
0.25,0.15,31,0.527612371238405,0.70125
0.3,0.15,32,0.527612371238405,0.70125
0.35,0.15,33,0.595613887486679,0.725
0.4,0.15,34,0.595613887486679,0.725
0.45,0.15,35,0.626808289654331,0.735
0.5,0.15,36,0.626808289654331,0.735
0.55,0.15,37,0.648601453817737,0.74375
0.6,0.15,38,0.648601453817737,0.74375
0.65,0.15,39,0.652299753520619,0.74125
0.7,0.15,40,0.654600998425026,0.73875
0.75,0.15,41,0.654600998425026,0.73875
0.8,0.15,42,0.654600998425026,0.73875
0.85,0.15,43,0.651833781953314,0.73375
0.9,0.15,44,,0.58
0.95,0.15,45,,0.58
0.25,0.1,46,0.5654845113171,0.71
0.3,0.1,47,0.5654845113171,0.71
0.35,0.1,48,0.622177192389958,0.73375
0.4,0.1,49,0.622177192389958,0.73375
0.45,0.1,50,0.648185855957307,0.74375
0.5,0.1,51,0.648185855957307,0.74375
0.55,0.1,52,0.667241522290077,0.7525
0.6,0.1,53,0.667241522290077,0.7525
0.65,0.1,54,0.669475076879494,0.75
0.7,0.1,55,0.670268971937137,0.7475
0.75,0.1,56,0.670268971937137,0.7475
0.8,0.1,57,0.670268971937137,0.7475
0.85,0.1,58,0.666678666406558,0.7425
0.9,0.1,59,,0.58875
0.95,0.1,60,,0.58875
0.25,0.05,61,0.5654845113171,0.71
0.3,0.05,62,0.5654845113171,0.71
0.35,0.05,63,0.622177192389958,0.73375
0.4,0.05,64,0.622177192389958,0.73375
0.45,0.05,65,0.648185855957307,0.74375
0.5,0.05,66,0.648185855957307,0.74375
0.55,0.05,67,0.667241522290077,0.7525
0.6,0.05,68,0.667241522290077,0.7525
0.65,0.05,69,0.669475076879494,0.75
0.7,0.05,70,0.670268971937137,0.7475
0.75,0.05,71,0.670268971937137,0.7475
0.8,0.05,72,0.670268971937137,0.7475
0.85,0.05,73,0.666678666406558,0.7425
0.9,0.05,74,,0.58875
0.95,0.05,75,,0.58875
0.25,0,76,0.5654845113171,0.71
0.3,0,77,0.5654845113171,0.71
0.35,0,78,0.622177192389958,0.73375
0.4,0,79,0.622177192389958,0.73375
0.45,0,80,0.648185855957307,0.74375
0.5,0,81,0.648185855957307,0.74375
0.55,0,82,0.667241522290077,0.7525
0.6,0,83,0.667241522290077,0.7525
0.65,0,84,0.669475076879494,0.75
0.7,0,85,0.670268971937137,0.7475
0.75,0,86,0.670268971937137,0.7475
0.8,0,87,0.670268971937137,0.7475
0.85,0,88,0.666678666406558,0.7425
0.9,0,89,,0.58875
0.95,0,90,,0.58875
0.25,-0.05,91,0.648270729762559,0.74375
0.3,-0.05,92,0.648270729762559,0.74375
0.35,-0.05,93,0.686449399214492,0.7675
0.4,-0.05,94,0.686449399214492,0.7675
0.45,-0.05,95,0.703336165439786,0.7775
0.5,-0.05,96,0.703336165439786,0.7775
0.55,-0.05,97,0.717346600944494,0.78625
0.6,-0.05,98,0.717346600944494,0.78625
0.65,-0.05,99,0.716802920339766,0.78375
0.7,-0.05,100,0.71464277513723,0.78125
0.75,-0.05,101,0.71464277513723,0.78125
0.8,-0.05,102,0.71464277513723,0.78125
0.85,-0.05,103,0.709399201054498,0.77625
0.9,-0.05,104,,0.6225
0.95,-0.05,105,,0.6225
0.25,-0.1,106,0.648270729762559,0.74375
0.3,-0.1,107,0.648270729762559,0.74375
0.35,-0.1,108,0.686449399214492,0.7675
0.4,-0.1,109,0.686449399214492,0.7675
0.45,-0.1,110,0.703336165439786,0.7775
0.5,-0.1,111,0.703336165439786,0.7775
0.55,-0.1,112,0.717346600944494,0.78625
0.6,-0.1,113,0.717346600944494,0.78625
0.65,-0.1,114,0.716802920339766,0.78375
0.7,-0.1,115,0.71464277513723,0.78125
0.75,-0.1,116,0.71464277513723,0.78125
0.8,-0.1,117,0.71464277513723,0.78125
0.85,-0.1,118,0.709399201054498,0.77625
0.9,-0.1,119,,0.6225
0.95,-0.1,120,,0.6225
0.25,-0.15,121,0.652552792765034,0.745
0.3,-0.15,122,0.652552792765034,0.745
0.35,-0.15,123,0.688692911110756,0.76875
0.4,-0.15,124,0.688692911110756,0.76875
0.45,-0.15,125,0.704613029845707,0.77875
0.5,-0.15,126,0.704613029845707,0.77875
0.55,-0.15,127,0.718119977179061,0.7875
0.6,-0.15,128,0.718119977179061,0.7875
0.65,-0.15,129,0.717363331037324,0.785
0.7,-0.15,130,0.714913121941653,0.7825
0.75,-0.15,131,0.714913121941653,0.7825
0.8,-0.15,132,0.714913121941653,0.7825
0.85,-0.15,133,0.70955692558304,0.7775
0.9,-0.15,134,,0.62375
0.95,-0.15,135,,0.62375
0.25,-0.2,136,0.652552792765034,0.745
0.3,-0.2,137,0.652552792765034,0.745
0.35,-0.2,138,0.688692911110756,0.76875
0.4,-0.2,139,0.688692911110756,0.76875
0.45,-0.2,140,0.704613029845707,0.77875
0.5,-0.2,141,0.704613029845707,0.77875
0.55,-0.2,142,0.718119977179061,0.7875
0.6,-0.2,143,0.718119977179061,0.7875
0.65,-0.2,144,0.717363331037324,0.785
0.7,-0.2,145,0.714913121941653,0.7825
0.75,-0.2,146,0.714913121941653,0.7825
